first_player,second_player,faceoffs_together_count
Sean Monahan,Lars Eller,7
Nicklas Backstrom,Phillip Danault,7
Jack Eichel,Phillip Danault,7
Ryan O'Reilly,Nazem Kadri,7
Elias Lindholm,Nazem Kadri,7
Phillip Danault,Jeff Carter,7
Jordan Staal,Jeff Carter,7
Adam Lowry,Anze Kopitar,7
Bryan Little,Anze Kopitar,7
Mikael Backlund,Anze Kopitar,7
Sean Monahan,Anze Kopitar,7
Jordan Staal,Anze Kopitar,7
Lars Eller,Bo Horvat,7
Claude Giroux,Bo Horvat,7
Tyler Bozak,Brandon Sutter,7
Jordan Staal,Nick Foligno,7
Phillip Danault,Boone Jenner,7
Nathan MacKinnon,Pierre-Luc Dubois,7
Ryan O'Reilly,Leon Draisaitl,7
Mark Scheifele,Leon Draisaitl,7
Nathan MacKinnon,Sidney Crosby,7
Adam Lowry,Sidney Crosby,7
Ryan Getzlaf,Sidney Crosby,7
